,sla,lnm,lls,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,0.0275531782132,28.5755042472,2.62730093613,2834.08569336,2837.35913086,2841.89697266,2746.98876953,2692.85693359,2790.53955078,2765.00561523,2676.04614258,2863.14794922,2804.92089844
1,0.0297742704429,26.5969287308,2.62066018155,3779.8203125,3760.83105469,3754.00048828,3648.03857422,3589.46386719,3774.13427734,3676.47998047,3640.42724609,3787.67504883,3705.16015625
2,0.0227023940994,23.7948119492,2.69733313498,2824.24389648,2832.91088867,2837.58349609,2742.76879883,2688.32763672,2785.61987305,2760.42822266,2659.66723633,2859.03637695,2800.57080078
3,0.0194326485555,17.35623643,0.640300130349,3430.54150391,3447.08105469,3453.79443359,3337.71899414,3269.87988281,3397.83056641,3361.28540039,3234.58398438,3479.35058594,3404.85424805
4,0.0204745426408,27.1809805557,0.848138451734,3831.01757812,3792.68310547,3792.09423828,3689.50537109,3631.28125,3819.85180664,3698.13208008,3678.98779297,3840.21679688,3739.91088867
5,0.0558163274726,16.021750085,0.72473442784,3062.05834961,3046.4621582,3043.13525391,2951.22631836,2903.76245117,3036.5871582,2974.7265625,2983.28881836,3064.94702148,3003.69458008
6,0.0308934112712,38.5697718552,5.29202504932,2491.13110352,2475.62719727,2476.48608398,2395.59057617,2355.30957031,2446.01977539,2413.17675781,2430.34594727,2493.63208008,2443.91357422
7,0.0331390437375,21.6317619824,2.24021862851,2176.25878906,2267.56958008,2295.62939453,2223.1953125,2156.234375,2244.99658203,2232.00048828,2034.30908203,2290.78417969,2271.26879883
8,0.0522709366674,24.1601583903,1.28345387723,2968.13842773,2974.40258789,2979.48681641,2879.35083008,2822.28808594,2927.00708008,2898.67724609,2801.14038086,3001.68212891,2939.34033203
9,0.0176072129547,17.7462647521,1.02768593767,2119.59033203,2111.78857422,2112.84204102,2047.30322266,2009.23632812,2075.77783203,2059.09375,2056.37841797,2129.26953125,2091.54101562
10,0.0148219656571,32.2461623431,0.849288247164,4272.03417969,4246.88085938,4248.53369141,4113.65771484,4034.85864258,4230.47070312,4144.59863281,4085.93115234,4286.21386719,4187.20263672
11,0.0227517612482,43.2334802132,5.02252069533,3181.81542969,3165.58154297,3157.77832031,3071.25878906,3025.49414062,3176.48876953,3093.86669922,3088.7890625,3184.76611328,3119.72216797
12,0.0413923615891,22.9928706375,1.40445768588,2481.7746582,2546.80419922,2561.18066406,2477.49633789,2417.47851562,2508.39501953,2490.00341797,2314.48339844,2574.81640625,2530.81152344
13,0.0156456780922,39.2654518043,2.9594894722,2510.43554688,2498.81054688,2501.11035156,2419.00634766,2373.99658203,2458.86425781,2435.4855957,2421.86499023,2519.17211914,2470.51806641
